id,display_name,display_name_alternatives,orcid
A5042896421,Cyrus H. Gordon,Cyrus Herzl Gordon; C. H. Gordon; Cyrus Gordon; Cyrus H. Gordon,
A5062225126,Bruce L. Goode,B. L. Goode; B. Goode; Goode Bl; Bruce L. Goode; Bruce Goode,https://orcid.org/0000-0002-6443-5893
A5037189248,Tzvi Abusch,Tzvi Abusch; T. Abusch,
A5008225248,Jonathan Touboul,Jonathan D. Touboul; J. Touboul; Jonathan Touboul; Jonathan David Touboul,https://orcid.org/0000-0003-1366-0414
A5050163260,Ira M. Gessel,Ira Martin Gessel; I Gessel; Ira Gessel; Ira M. Gessel,https://orcid.org/0000-0003-1061-5095
A5070276445,C. Blocker,C. A. Blocker; Calif Blocker; C. Blocker,
A5060006673,Jutta M. Wolf,Jutta M. Wolf; Jutta Manuela Wolf; Jutta Wolf; J.M. Wolf,
A5114013664,Saul G. Cohen,S. Cohen; S. G. Cohen; Saul Cohen; Saul Gerald. Cohen; Saul G. Cohen,
A5090140696,Eugene Goodheart,Eugene Goodheart,
A5107145791,J. I. Lamoureux,Ji Lamoureux; J. Lamoureux; J. I. Lamoureux,
A5011929421,Joanne Nicholson,J M Nicholson; J. Nicholson; Joanne Nicholson,https://orcid.org/0000-0003-4470-378X
A5108388864,Grant A. Ritter,Grant A. Ritter; G. A. Ritter; G. Ritter; Grant Ritter,
A5047117464,Z. M. Schillaci,Z.M Schillaci; Zachary Schillaci; Z. M. Schillaci; Zachary Michael Schillaci,https://orcid.org/0000-0002-6978-5323
A5107824125,V. Gratchev,V. Gratchev,
A5036953367,James A. Storer,J. A. Storer; James Andrew Storer; James Storer; J. Storer; James A. Storer; J STORER,
A5078810942,Constance M. Horgan,C. Horgan; Connie M Horgan; C. M. Horgan; Constance M. Horgan; Constance Horgan; Constance H Horgan,https://orcid.org/0000-0002-2659-7082
A5110895752,Max Lerner,M.J Lerner; M Lerner; Max Lerner; Max J. Lerner,
A5000399424,Angela Gutchess,A. H. Gutchess; Angela Hall Gutchess; A. Gutchess; Angela H. Gutchess; Angela Gutchess; Angel H. Gutchess,https://orcid.org/0000-0003-3047-5907
A5107907718,K. O’Connor,Kelsey Shea O'Connor; K. O’Connor; Kate O'Connor; K. O'Connor; Kelsey O'Connor,https://orcid.org/0000-0001-8079-4450
A5042320425,Monika Mitra,M. K. Mitra; Madhusree Mitra; M. Mitra; Monika Mitra,https://orcid.org/0000-0002-4089-3240
A5012857095,Piali Sengupta,Parijat Sengupta; P. Sengupta; Piali Sengupta; P. K. Sengupta,https://orcid.org/0000-0001-7468-0035
A5110198451,Jerome A. Schiff,Jerome Schiff; J Schiff; Jerome A. Schiff; J. A. Schiff,
A5072088505,Edward K. Kaplan,E. Kaplan; Edward Kaplan; Edward K. Kaplan,
A5071376755,Dorothee Kern,D.Y. Kern; D. Kern; Dorothee Kern,https://orcid.org/0000-0002-7631-8328
A5081649301,David J. DeRosier,David Derosier; D. J. Derosier; David J. Derosier; D. DeRosier,https://orcid.org/0000-0001-7946-3371
A5004957006,Elizabeth Brainerd,Elizabeth L. Brainerd; E. Brainerd; E. L. Brainerd; Elizabeth Brainerd; E.L Brainerd,https://orcid.org/0000-0002-2820-2136
A5067543378,Jonathan D. Sarna,Jonathan D. Sarna; J. D. Sarna; J. D Sarna; Jonathan Sarna,https://orcid.org/0000-0002-7700-3109
A5086089915,Hongfu Liu,Hong‐Fu Liu; Liu Hongfu; L.I. Hong‐fu; Liu Hong‐fu; Hongfu Liu,https://orcid.org/0000-0002-4261-8154
