Unique_Funder,Matched_Funder,Matched_Code,Reliable(Y/N)
National Social Science Fund of China,"National Office of Philosophy and Social Sciences (China, Beijing)",41___NATIONAL_PLANNING_OFFICE_OF_PHILOSOPHY_AND_SOCIAL_SCIENCE_(BEIJING),
Natural Science Foundation of Beijing Municipality,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING),
Natural Science Foundation of Guangdong Province,"Guangdong Province Science and Technology Library (China, Guangzhou)",41___GUANGDONG_PROVINCE_SCIENCE_AND_TECHNOLOGY_LIBRARY_(GUANGZHOU),
Natural Science Foundation of Hebei Province,"Hospital of Hebei Province (China, Shijiazhuang)",41___HOSPITAL_OF_HEBEI_PROVINCE_(SHIJIAZHUANG),
Natural Science Foundation of Jiangsu Province,"Government of Jiangsu Province (China, Nanjing)",41___GOVERNMENT_OF_JIANGSU_PROVINCE_(NANJING),
Natural Science Foundation of Jiangxi Province,"Education Department of Jiangxi Province (China, Nanchang)",41___EDUCATION_DEPARTMENT_OF_JIANGXI_PROVINCE_(NANCHANG),
Natural Science Foundation of Shandong Province,"Department of Science and Technology of Shandong Province (China, Jinan)",41___DEPARTMENT_OF_SCIENCE_AND_TECHNOLOGY_OF_SHANDONG_PROVINCE_(JINAN),
Natural Science Foundation of Zhejiang Province,"Zhejiang Provincial Natural Science Foundation (China, Hangzhou)",41___ZHEJIANG_PROVINCIAL_NATURAL_SCIENCE_FOUNDATION_(HANGZHOU),
Natural Science Foundation of Hunan Province,"Zhejiang Provincial Natural Science Foundation (China, Hangzhou)",41___ZHEJIANG_PROVINCIAL_NATURAL_SCIENCE_FOUNDATION_(HANGZHOU),
Natural Sciences and Engineering Research Council of Canada,"Natural Sciences and Engineering Research Council (Canada, Ottawa) - NSERC",41___NATURAL_SCIENCES_AND_ENGINEERING_RESEARCH_COUNCIL_(OTTAWA),
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,"Nederlands Instituut voor Wetenschappelijke Informatiediensten (Netherlands, Amsterdam) - NIWI",41___NEDERLANDS_INSTITUUT_VOOR_WETENSCHAPPELIJKE_INFORMATIEDIENSTEN_(AMSTERDAM),
Nemzeti Kutatási Fejlesztési és Innovációs Hivatal,"Nemzeti Szakképzési és Felnőttképzési Hivatal (Hungary, Budapest) - NSZFH",41___NEMZETI_SZAKKÉPZÉSI_ÉS_FELNŐTTKÉPZÉSI_HIVATAL_(BUDAPEST),
"Nemzeti Kutatási, Fejlesztési és Innovaciós Alap","Nemzeti Szakképzési és Felnőttképzési Hivatal (Hungary, Budapest) - NSZFH",41___NEMZETI_SZAKKÉPZÉSI_ÉS_FELNŐTTKÉPZÉSI_HIVATAL_(BUDAPEST),
Norges Forskningsråd,"Skogs- och Jordbrukets Forskningsråd (Sweden, Stockholm) - SJFR",41___SKOGS-_OCH_JORDBRUKETS_FORSKNINGSRÅD_(STOCKHOLM),
Norges Idrettshøgskole,"Hôpital de Morges (Switzerland, Morges)",41___HÔPITAL_DE_MORGES_(MORGES),
Office of Advanced Cyberinfrastructure,"Division of Advanced Cyberinfrastructure (United States, Arlington) - NSF ACI",41___DIVISION_OF_ADVANCED_CYBERINFRASTRUCTURE_(ARLINGTON),
"Office of Extramural Research, National Institutes of Health","Office of Extramural Research (United States, Bethesda) - OER",41___OFFICE_OF_EXTRAMURAL_RESEARCH_(BETHESDA),
Ono Pharma Foundation,"Chiesi Foundation (Italy, Parma)",41___CHIESI_FOUNDATION_(PARMA),
Patrick and Catherine Weldon Donaghue Medical Research Foundation,"Donaghue Foundation (United States, West Hartford)",41___DONAGHUE_FOUNDATION_(WEST_HARTFORD),
Postdoctoral Research Foundation of China,"China Postdoctoral Science Foundation (China, Beijing)",41___CHINA_POSTDOCTORAL_SCIENCE_FOUNDATION_(BEIJING),
Recruitment Program of Global Experts,"Programa de Salud Global (Spain, Madrid)",41___PROGRAMA_DE_SALUD_GLOBAL_(MADRID),
Retirement Research Foundation,"Setting Priorities for Retirement Years Foundation (United States, Washington D.C.) - SPRY",41___SETTING_PRIORITIES_FOR_RETIREMENT_YEARS_FOUNDATION_(WASHINGTON_D.C.),
Sanming Project of Medicine in Shenzhen,"National Supercomputing Center in Shenzhen (China, Shenzhen)",41___NATIONAL_SUPERCOMPUTING_CENTER_IN_SHENZHEN_(SHENZHEN),
Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung,"Gesellschaft zur Förderung der Naturwissenschaftlich-Technischen Forschung (Germany, Berlin) - GNF",41___GESELLSCHAFT_ZUR_FÖRDERUNG_DER_NATURWISSENSCHAFTLICH-TECHNISCHEN_FORSCHUNG_(BERLIN),
Scientific Research Fund for Young and Middle-Aged Scholars of Gansu University of Traditional Chinese Medicine,"Gansu University of Traditional Chinese Medicine (China, Lanzhou)",41___GANSU_UNIVERSITY_OF_TRADITIONAL_CHINESE_MEDICINE_(LANZHOU),
Searle Scholars Program,"Schuler Scholar Program (United States, Lake Forest)",41___SCHULER_SCHOLAR_PROGRAM_(LAKE_FOREST),
Seventh Framework Programme,"Framework (United Kingdom, Nottingham)",41___FRAMEWORK_(NOTTINGHAM),
